trial,n,log_T2n_minus_log_n
259,269791172058440089189,-1.268511325463507
260,111632533745856068977,-3.3479528671433485
261,83918290486340471865,0.11778303565638737
262,263567617032216901207,0.8109302162163274
263,289581600715384498657,-0.5753641449035598
264,105326902513296906557,-0.5753641449035598
265,10161186316298834489,0.11778303565638737
266,44419588037248309559,0.8109302162163345
267,260347405301284455887,0.8109302162163274
268,279541427027921294809,0.11778303565638737
269,179239694827167832541,-0.5753641449035598
270,160586500418272849845,-2.6548056865834013
271,292099100037363897131,0.11778303565638026
272,137838125997238603761,-2.654805686583394
273,83956022066908493125,-2.6548056865834013
274,255568799467178940505,0.11778303565638737
275,89748217114213814727,0.8109302162163274
276,286636219202572185113,0.11778303565638737
277,231385444253860339643,0.11778303565638737
278,201675527591897954037,-1.961658506023447
279,26024207207807718703,0.8109302162163274
280,290438546456315166969,0.11778303565638737
281,91879877579406751647,0.8109302162163345
282,36244613621567314863,0.8109302162163274
283,8428835350504453311,0.8109302162163274
284,242466871030290977827,-1.9616585060234542
285,278081498706874742671,0.8109302162163274
286,165452603889416276623,0.8109302162163274
287,48880858635243190165,-2.654805686583394
288,202068209618154703795,-0.5753641449035669
289,183008840086484995941,-1.268511325463507
290,71436478118534197361,-4.734247228263236
291,16665232567358312199,0.8109302162163274
292,208325865160446956643,-2.654805686583394
293,81731745258002552299,0.11778303565638737
294,249605962145774942495,0.8109302162163274
295,95369365246398969173,-9.586277492182852
296,131767264519492585777,-1.9616585060234542
297,159341216049782451131,0.11778303565638026
298,182645076271335921237,-4.041100047703289
299,102316676382566377519,0.8109302162163274
300,160307989316525589177,0.11778303565638026
301,181613801907101577475,-1.268511325463514
302,239796117306620240533,-2.654805686583394
303,64253847668323004755,-0.5753641449035669
304,176624105315337813841,-1.268511325463507
305,178920118946724122833,-1.268511325463507
306,154875279884830228435,-0.5753641449035669
307,290447161156926534845,-0.5753641449035598
308,159027373068788727163,0.11778303565638737
309,166747914885133669393,-1.268511325463507
310,26578496746279821429,-1.9616585060234542
311,113920451935213611297,-0.5753641449035669
312,220835004486411860157,-0.5753641449035598
313,107553236327860558399,0.8109302162163274
314,147830706548074796707,-1.961658506023447
315,260534226803561909657,0.11778303565638026
316,62192711409014863935,0.8109302162163274
317,281014413961516422817,-0.5753641449035598
318,194823579014700173399,0.8109302162163274
319,140381238749249287703,0.8109302162163274
320,75939267460400026587,0.11778303565638026
321,35902188517213329717,-3.3479528671433414
322,295072778463121954373,-2.6548056865834013
323,130920084481798443623,0.8109302162163274
324,83702960954999532827,0.11778303565638026
325,211282435071218174721,-0.5753641449035598
326,67421408935120592729,0.11778303565638026
327,262262335301308058941,-0.5753641449035598
328,146661856431616530021,-1.268511325463507
329,62030608858884262057,0.11778303565638737
330,215562753189798089787,0.11778303565638737
331,25063108726014303905,-0.5753641449035598
332,115769578868104264397,-1.9616585060234542
333,273458059058154615781,-1.268511325463507
334,122906389747533867211,0.11778303565638026
335,18840719611171279431,0.8109302162163274
336,135279366549409586907,0.11778303565638737
337,40678862893343059631,0.8109302162163345
338,121497323197117776881,-2.654805686583394
339,145170257554503384435,-0.5753641449035598
340,88071555309587167879,0.8109302162163274
341,157539168953460795925,-3.3479528671433414
342,58559135970382014181,-1.268511325463507
343,15983142477556814541,-1.961658506023447
