n,residue,M,event_A,event_B,stopping_time,mean_traj_event_A
33460239,15,12,1,0,95,0.463158
190562319,15,12,1,0,126,0.492063
74244111,15,12,1,0,150,0.52
67178511,15,12,1,0,107,0.476636
74354703,15,12,1,0,112,0.482143
139112463,15,12,1,0,143,0.51049
148668431,15,12,1,0,94,0.446809
213569551,15,12,1,0,131,0.496183
215330831,15,12,1,0,142,0.507042
92438543,15,12,1,0,109,0.477064
47915023,15,12,1,0,165,0.533333
125378575,15,12,1,0,70,0.385714
260919311,15,12,1,0,82,0.414634
4018191,15,12,1,0,92,0.478261
95338512,16,12,0,1,144,0.520833
170319888,16,12,0,1,102,0.470588
235323408,16,12,0,1,66,0.378788
121188368,16,12,0,1,146,0.520548
127979536,16,12,0,1,127,0.503937
168034320,16,12,0,1,91,0.450549
265793552,16,12,0,1,112,0.482143
257069072,16,12,0,1,117,0.487179
120832016,16,12,0,1,108,0.481481
221323280,16,12,0,1,123,0.495935
180899856,16,12,0,1,164,0.530488
147763216,16,12,0,1,75,0.413333
117829648,16,12,0,1,203,0.551724
25878544,16,12,0,1,112,0.5
38416400,16,12,0,1,130,0.515385
197939216,16,12,0,1,153,0.522876
85614608,16,12,0,1,98,0.469388
109441040,16,12,0,1,149,0.52349
167399440,16,12,0,1,137,0.510949
160374800,16,12,0,1,167,0.532934
160829456,16,12,0,1,83,0.433735
199512080,16,12,0,1,110,0.481818
88682512,16,12,0,1,112,0.491071
249528336,16,12,0,1,109,0.477064
45621265,17,12,1,0,116,0.491379
66166801,17,12,1,0,115,0.486957
202510353,17,12,1,0,107,0.46729
94638097,17,12,1,0,144,0.513889
83636241,17,12,1,0,112,0.482143
134541329,17,12,1,0,70,0.385714
229113873,17,12,1,0,150,0.513333
116834321,17,12,1,0,149,0.516779
27992081,17,12,1,0,101,0.475248
265768977,17,12,1,0,136,0.5
211316753,17,12,1,0,104,0.461538
186822673,17,12,1,0,118,0.483051
206147601,17,12,1,0,107,0.46729
88477713,17,12,1,0,136,0.507353
21856273,17,12,1,0,69,0.405797
48537617,17,12,1,0,62,0.370968
137003025,17,12,1,0,162,0.524691
54251537,17,12,1,0,148,0.52027
143630353,17,12,1,0,59,0.338983
44949521,17,12,1,0,181,0.541436
74694673,17,12,1,0,169,0.532544
44027921,17,12,1,0,116,0.491379
238940177,17,12,1,0,204,0.544118
129384465,17,12,1,0,154,0.519481
205275154,18,12,0,1,169,0.532544
232423442,18,12,0,1,58,0.344828
213270546,18,12,0,1,188,0.542553
88453138,18,12,0,1,117,0.495726
174735378,18,12,0,1,83,0.433735
235221010,18,12,0,1,120,0.491667
67825682,18,12,0,1,107,0.485981
261976082,18,12,0,1,117,0.487179
113827858,18,12,0,1,103,0.475728
63991826,18,12,0,1,118,0.5
231534610,18,12,0,1,120,0.491667
219164690,18,12,0,1,150,0.52
63402002,18,12,0,1,134,0.514925
158634002,18,12,0,1,159,0.528302
149078034,18,12,0,1,67,0.38806
133263378,18,12,0,1,135,0.511111
203395090,18,12,0,1,134,0.507463
2154514,18,12,0,1,80,0.475
101920786,18,12,0,1,179,0.541899
235565074,18,12,0,1,101,0.465347
11296786,18,12,0,1,76,0.447368
16543762,18,12,0,1,113,0.504425
130052114,18,12,0,1,154,0.525974
139800594,18,12,0,1,105,0.47619
110923795,19,12,1,0,130,0.5
92803091,19,12,1,0,106,0.471698
152891411,19,12,1,0,75,0.4
79679507,19,12,1,0,166,0.53012
107618323,19,12,1,0,111,0.477477
146690067,19,12,1,0,94,0.446809
167043091,19,12,1,0,194,0.541237
134692883,19,12,1,0,92,0.445652
239661075,19,12,1,0,128,0.492188
90185747,19,12,1,0,125,0.496
191639571,19,12,1,0,107,0.46729
263503891,19,12,1,0,117,0.478632
225468435,19,12,1,0,139,0.503597
65392659,19,12,1,0,153,0.522876
112177171,19,12,1,0,195,0.54359
205762579,19,12,1,0,153,0.51634
109965331,19,12,1,0,149,0.516779
152498195,19,12,1,0,159,0.522013
58060819,19,12,1,0,91,0.450549
12967955,19,12,1,0,81,0.444444
63389715,19,12,1,0,126,0.5
7098387,19,12,1,0,153,0.535948
159137811,19,12,1,0,83,0.421687
73334803,19,12,1,0,93,0.451613
40366100,20,12,0,1,62,0.387097
200646676,20,12,0,1,153,0.522876
167104532,20,12,0,1,140,0.514286
234704916,20,12,0,1,139,0.510791
191565844,20,12,0,1,153,0.522876
173781012,20,12,0,1,83,0.433735
454676,20,12,0,1,46,0.391304
