n,v2,log_ratio
9383,1,0.4055006327
9385,2,-0.2876465554
9387,1,0.4055006176
9389,3,-0.9807937511
9391,1,0.4055006025
9393,2,-0.2876465857
9395,1,0.4055005873
9397,5,-2.3670881424
9399,1,0.4055005722
9401,2,-0.2876466159
9403,1,0.4055005572
9405,3,-0.9807938115
9407,1,0.4055005421
9409,2,-0.2876466460
9411,1,0.4055005270
9413,4,-1.6739410222
9415,1,0.4055005120
9417,2,-0.2876466761
9419,1,0.4055004969
9421,3,-0.9807938717
9423,1,0.4055004819
9425,2,-0.2876467061
9427,1,0.4055004669
9429,7,-3.7533826239
9431,1,0.4055004519
9433,2,-0.2876467361
9435,1,0.4055004369
9437,3,-0.9807939317
9439,1,0.4055004220
9441,2,-0.2876467661
9443,1,0.4055004070
9445,4,-1.6739411422
9447,1,0.4055003921
9449,2,-0.2876467960
9451,1,0.4055003771
9453,3,-0.9807939915
9455,1,0.4055003622
9457,2,-0.2876468258
9459,1,0.4055003473
9461,5,-2.3670883824
9463,1,0.4055003324
9465,2,-0.2876468556
9467,1,0.4055003175
9469,3,-0.9807940510
9471,1,0.4055003026
9473,2,-0.2876468853
9475,1,0.4055002878
9477,4,-1.6739412613
9479,1,0.4055002729
9481,2,-0.2876469150
9483,1,0.4055002581
9485,3,-0.9807941104
9487,1,0.4055002433
9489,2,-0.2876469447
9491,1,0.4055002285
9493,6,-3.0602356817
9495,1,0.4055002137
9497,2,-0.2876469743
9499,1,0.4055001989
9501,3,-0.9807941696
9503,1,0.4055001841
9505,2,-0.2876470038
9507,1,0.4055001694
9509,4,-1.6739413797
9511,1,0.4055001546
9513,2,-0.2876470333
9515,1,0.4055001399
9517,3,-0.9807942286
9519,1,0.4055001252
9521,2,-0.2876470627
9523,1,0.4055001105
9525,5,-2.3670886191
9527,1,0.4055000958
9529,2,-0.2876470921
9531,1,0.4055000811
9533,3,-0.9807942874
9535,1,0.4055000664
9537,2,-0.2876471215
9539,1,0.4055000518
9541,4,-1.6739414972
9543,1,0.4055000371
9545,2,-0.2876471508
